FID IID PC1 PC2 PC3 PC4
WGACON 35 0.056052 0.0526358 0.00818712 -0.00485341
WGACON 36 0.0543452 0.050353 0.00407202 -0.00213349
WGACON 37 0.0536944 0.0504338 0.00693376 -0.00134224
WGACON 38 0.0544782 0.0503038 0.0104805 -0.0052763
WGACON 40 0.0586984 0.0484094 0.00945177 -0.004392
WGACON 42 0.0540607 0.0511287 0.00873785 -0.00291123
WGACON 43 0.0554712 0.0505085 0.00880415 -0.00377675
WGACON 44 0.0566726 0.0512551 0.00950064 -0.00361813
WGACON 45 0.0572539 0.0515942 0.0085088 -0.0046419
WGACON 47 0.0545204 0.0487076 0.00844403 -0.00375638
WGACON 48 0.0569536 0.0507583 0.00808224 -0.00415717
WGACON 50 0.0541266 0.0498208 0.0056994 -0.00378101
WGACON 51 0.0456859 0.0452482 0.000348443 0.00732414
WGACON 52 0.0569265 0.0495 0.00696587 -0.00626483
WGACON 54 0.0542011 0.0499816 0.00651598 -0.00259367
WGACON 55 0.057371 0.0528913 0.00796094 -0.00276201
WGACON 56 0.0494665 0.047029 0.00262051 0.00462544
WGACON 57 0.0475609 0.0429154 -0.000139245 0.00757185
WGACON 58 0.0560278 0.0512405 0.00826219 -0.00363308
WGACON 60 0.0514629 0.0485092 0.0116377 -0.00188124
WGACON 61 0.0563693 0.0498155 0.0108408 -0.00349624
WGACON 62 0.0515223 0.0512133 0.000771586 0.00288139
WGACON 64 0.0559433 0.0528529 0.00590055 -0.00271111
WGACON 65 0.0560885 0.0531167 0.00880923 -0.00256344
WGACON 67 0.0554582 0.0502927 0.00932313 -0.00243461
WGACON 68 0.0570418 0.0502564 0.00769904 -0.0033361
WGACON 70 0.0577193 0.0537191 0.00623794 -0.00487688
WGACON 73 0.0546843 0.0499 0.00693454 -0.000259306
WGACON 75 0.0549662 0.053209 0.00630846 -0.000729819
WGACON 77 0.0568895 0.0494636 0.0090697 -0.00333337
WGACON 79 0.0547554 0.0498952 0.0067593 -0.00133829
WGACON 80 0.0561529 0.0478731 0.00669509 -0.00548142
WGACON 82 0.0554611 0.0503356 0.00949592 -0.00310453
WGACON 83 0.0537417 0.0516704 0.00858518 -0.00372185
WGACON 84 0.0554175 0.0508125 0.00654721 -0.00138007
WGACON 85 0.0561431 0.0525674 0.00660613 -0.00300639
WGACON 86 0.0553607 0.0522299 0.00599899 -0.00227298
WGACON 87 0.0436144 0.0447975 -0.000645641 0.00970861
WGACON 89 0.05741 0.0518523 0.0103562 -0.00485471
WGACON 90 0.0449953 0.0424035 0.00350119 0.00799304
WGACON 91 0.0565348 0.0489647 0.00768536 -0.00509983
WGACON 94 0.0558259 0.0521546 0.00741627 -0.00384788
WGACON 95 0.0563194 0.0502828 0.0105966 -0.00378289
WGACON 96 0.0550405 0.0468729 0.00691235 -0.000117586
WGACON 97 0.0547842 0.0497191 0.00610207 0.000748761
WGACON 98 0.0460109 0.0470283 0.00102961 0.0102207
WGACON 99 0.056668 0.0495478 0.0104593 -0.00123889
WGACON 100 0.0445049 0.049721 0.00314932 0.00930835
WGACON 102 0.0442284 0.0478028 0.000823917 0.00892292
WGACON 103 0.055235 0.0494333 0.0102782 -0.00374238
WGACON 104 0.0428999 0.0431284 -0.0019545 0.0117302
WGACON 106 0.045659 0.0465899 0.0103998 0.00391274
WGACON 109 0.0542357 0.050805 0.00614429 -0.00212465
WGACON 111 0.053363 0.0505703 0.00742081 -0.000234691
WGACON 112 0.0586549 0.0526892 0.00837119 -0.00128745
WGACON 113 0.0557976 0.0500341 0.00866573 0.00143496
WGACON 114 0.0557277 0.0521871 0.00977454 -0.000740886
WGACON 115 0.051757 0.0499359 0.00713607 0.000813504
WGACON 117 0.0451604 0.0441198 0.00263136 0.0119912
WGACON 118 0.0544927 0.050171 0.00925196 -0.00269838
WGACON 119 0.0546186 0.0520544 0.00666727 0.000156996
WGACON 120 0.0550863 0.0487955 0.00847175 -0.00234269
WGACON 122 0.0547321 0.0527964 0.00723137 -0.00316275
WGACON 124 0.0574561 0.0500915 0.00613144 -0.000804174
WGACON 125 0.0524567 0.0455634 0.00539536 -0.000410092
WGACON 127 0.0579029 0.0507725 0.00532814 -0.00478831
WGACON 128 0.0536221 0.0508539 0.00805089 -0.0025868
WGACON 130 0.0545516 0.0483874 0.00575043 -0.00350089
WGACON 131 0.0549945 0.0497935 0.00390008 -1.76049e-05
WGACON 134 0.0572754 0.0507311 0.00711257 -0.00484954
WGACON 135 0.0554199 0.0491723 0.00711806 -0.00403729
WGACON 136 0.0543559 0.0513662 0.0097751 -0.00162621
WGACON 137 0.0568509 0.0504474 0.00882077 -0.00419297
WGACON 139 0.0571161 0.0531659 0.00944778 -0.00375555
WGACON 140 0.058074 0.0496083 0.00846384 -0.002911
WGACON 141 0.0569187 0.0461449 0.00988852 -0.00380486
WGACON 142 0.0571605 0.0379285 0.00519722 -0.00406712
WGACON 143 0.0542852 0.0482229 0.00691578 -0.000286004
WGACON 145 0.057188 0.0486229 0.00566276 -0.000272238
WGACON 147 0.0525522 0.0498794 0.0115271 -0.000886706
WGACON 148 0.0575178 0.0498031 0.0109074 0.000616051
WGACON 150 0.0558713 0.049632 0.00854808 -0.00546195
WGACON 151 0.0562008 0.0535562 0.00894516 -0.00281386
WGACON 153 0.0553794 0.0530315 0.00900304 -0.00434005
WGACON 154 0.0570504 0.0529021 0.00940776 -0.00425336
WGACON 155 0.0523502 0.0476318 0.00281529 0.0010649
WGACON 158 0.0568486 0.04961 0.00735621 -0.00448316
WGACON 160 0.0575035 0.052336 0.00899792 -0.00418674
WGACON 161 0.0562999 0.0495931 0.00783543 -0.00134634
WGACON 162 0.057706 0.0505838 0.00713529 -0.00615024
WGACON 163 0.0559071 0.0530535 0.00797133 -0.00328774
WGACON 172 0.047061 0.0461918 0.00024702 0.00924237
WGACON 173 0.054646 0.0532024 0.00863227 -0.00293536
WGACON 174 0.055223 0.0518639 0.00557946 -0.00070664
WGACON 175 0.0479499 0.0436119 0.000647891 0.0091492
WGACON 177 0.0557766 0.0497782 0.00827781 -0.00230392
WGACON 178 0.0564762 0.0481866 0.00495911 -0.00526128
WGACON 179 0.0536311 0.0493252 0.00596872 -0.00380602
WGACON 180 0.0429939 0.0436005 -0.00153758 0.00853104
WGACON 181 0.0559389 0.0516028 0.00839307 -0.00297903
WGACON 186 0.0535637 0.0465997 0.00704024 -0.000240382
WGACON 188 0.0567386 0.0501369 0.0086603 -0.00308737
WGACON 189 0.0557502 0.0502095 0.00795213 -0.00498688
WGACON 190 0.055723 0.0524606 0.00819221 -0.00271654
WGACON 191 0.0550262 0.050193 0.00856495 -0.00108939
WGACON 193 0.0564575 0.0495755 0.00974964 -0.00469288
WGACON 196 0.0452506 0.0440714 0.00146393 0.00932897
WGACON 198 0.0437856 0.0433998 -0.000855183 0.0119581
WGACON 199 0.0531538 0.0479175 0.0110124 -0.00350876
WGACON 201 0.0554667 0.0497984 0.00755596 -0.00106538
WGACON 202 0.0585249 0.0504818 0.0110981 -0.00609315
WGACON 203 0.0565874 0.051596 0.00823912 -0.00312721
WGACON 204 0.05487 0.049052 0.00905242 -0.00369412
WGACON 205 0.0551402 0.0502765 0.0101761 -0.00446419
WGACON 206 0.058424 0.0507516 0.00630279 -0.00532458
WGACON 207 0.0535642 0.0512766 0.00676824 -0.00287093
WGACON 208 0.055392 0.0501943 0.00803861 -0.00243661
WGACON 210 0.0523687 0.0507307 0.00857335 -0.000965856
WGACON 213 0.048238 0.0486669 0.00482085 0.00837071
WGACON 214 0.0580428 0.0500858 0.00987152 -0.00168918
WGACON 217 0.0587475 0.0497357 0.00463661 -0.00486768
WGACON 218 0.0472899 0.0486144 0.000101338 0.00763982
WGACON 219 0.0517539 0.0501366 0.00286854 0.00515387
WGACON 221 0.0563232 0.0503162 0.00875949 -0.00391571
WGACON 223 0.0504403 0.0483913 0.00113132 0.00742714
WGACON 225 0.0448755 0.0430963 0.000279992 0.0101043
WGACON 226 0.0557371 0.0490228 0.0101353 -0.00160346
WGACON 228 0.0553659 0.049766 0.00608961 7.70797e-07
WGACON 230 0.0570838 0.0519829 0.00825415 -0.00518468
WGACON 231 0.04712 0.0427051 -0.000236994 0.00944908
WGACON 232 0.0548286 0.050181 0.00841886 -0.00174631
WGACON 234 0.056792 0.0501925 0.0118681 -0.00349937
WGACON 235 0.0552173 0.0506852 0.00718179 -0.00220269
WGACON 236 0.0562033 0.0498461 0.0106663 -0.00505684
WGACON 237 0.0564062 0.049636 0.00868747 -0.00278376
WGACON 240 0.0570243 0.0497242 0.0071717 -0.000476923
WGACON 241 0.0551806 0.0496274 0.0108472 -0.00233194
WGACON 242 0.054561 0.0473023 0.00699156 -0.0037727
WGACON 243 0.0578102 0.0528008 0.00922306 -0.00526739
WGACON 244 0.0583305 0.0525263 0.00849506 -0.000863623
WGACON 245 0.0587962 0.0496852 0.010963 -0.00369516
WGACON 246 0.0564534 0.0497323 0.00957802 -0.00178135
WGACON 249 0.0570392 0.0478866 0.0086054 -0.00317867
WGACON 250 0.0552693 0.050128 0.00576551 -0.00130415
WGACON 251 0.0563749 0.0515863 0.00835884 -0.000975098
WGACON 252 0.0567925 0.0519501 0.00703345 -0.00602563
WGACON 253 0.0568017 0.0509824 0.00711107 -0.00520501
WGACON 254 0.0558914 0.0514303 0.00956273 -0.00289673
WGACON 255 0.0539359 0.0530741 0.00947186 -0.000168168
WGACON 256 0.0532075 0.0467217 0.00619748 0.0027892
WGACON 257 0.0564885 0.0515835 0.00910694 -0.00565455
WGACON 259 0.057244 0.0513375 0.00691226 -0.00299583
WGACON 260 0.0559711 0.0510536 0.00732711 -0.0047314
WGACON 261 0.056131 0.0533592 0.00883215 -0.00712839
WGACON 263 0.0549254 0.0518286 0.00766288 -0.00383335
WGACON 264 0.0588173 0.0483496 0.00870612 -0.00242498
WGACON 265 0.0595431 0.0489701 0.00757767 -0.00330904
WGACON 267 0.0572729 0.0513164 0.00956822 -0.00435571
WGACON 268 0.0561716 0.0518149 0.0102881 -0.00300385
WGACON 270 0.0562077 0.0503067 0.00980744 -0.00423824
WGACON 273 0.05448 0.0527384 0.00894817 -0.00433212
WGACON 274 0.0555601 0.0514249 0.00815853 -0.00257956
WGACON 277 0.0453688 0.0486463 0.000332451 0.0101771
